,natural_language,parsed_utterance
78,how about outdoor temperature less than 21.82399577,filter outdoor_temperature less than 21.82399577 and previousoperation [e]
79,how about id 78,filter id 78 and previousoperation [e]
80,how about indoor temperature colder than 15.25,filter indoor_temperature less than 15.25 and previousoperation [e]
81,how about past electricity warmer than 1929.025,filter past_electricity greater than 1929.025 and previousoperation [e]
82,how about indoor temperature of 15.25,filter indoor_temperature equal to 15.25 and previousoperation [e]
83,how about past electricity warmer than 640.4 and indoor temperature yocolderunger than 15.25,filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and previousoperation [e]
84,how about past electricity colder than 640.4,filter past_electricity less than 640.4 and previousoperation [e]
85,how about indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.82399577,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and previousoperation [e]
86,how about past electricity warmer than 1929.025 and indoor temperature yocolderunger than 15.25,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and previousoperation [e]
87,how about past electricity upper than 640.4,filter past_electricity greater than 640.4 and previousoperation [e]
88,how about past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.82399577,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and previousoperation [e]
89,how about outdoor temperature equal to or below 21.5,filter outdoor_temperature less equal than 21.5 and previousoperation [e]
90,how about outdoor temperature the same or more than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and previousoperation [e]
91,how about outdoor temperature colder than 21.82399577,filter outdoor_temperature less than 21.82399577 and previousoperation [e]
92,how about past electricity the same or more than 640.4,filter past_electricity greater equal than 640.4 and previousoperation [e]
93,how about outdoor temperature is not greater than 21.82399577,filter outdoor_temperature less equal than 21.82399577 and previousoperation [e]
94,how about indoor temperature equal to or below 15.25,filter indoor_temperature less equal than 15.25 and previousoperation [e]
95,how about indoor temperature above 13.25,filter indoor_temperature greater than 13.25 and previousoperation [e]
96,how about indoor temperature warmer than 15.25 and past electricity yocolderunger than 640.4,filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and previousoperation [e]
97,how about outdoor temperature is not greater than 21.5,filter outdoor_temperature less equal than 21.5 and previousoperation [e]
98,how about past electricity warmer than 640.4,filter past_electricity greater than 640.4 and previousoperation [e]
99,how about past electricity is not less than 1929.025,filter past_electricity greater equal than 1929.025 and previousoperation [e]
100,how about indoor temperature warmer than 13.25 and past electricity yocolderunger than 1929.025,filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and previousoperation [e]
101,how about outdoor temperature warmer than 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
102,how about id 61,filter id 61 and previousoperation [e]
103,how about indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.5,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and previousoperation [e]
104,how about indoor temperature warmer than 15.25,filter indoor_temperature greater than 15.25 and previousoperation [e]
105,how about past electricity less than 1929.025,filter past_electricity less than 1929.025 and previousoperation [e]
106,how about indoor temperature is not greater than 13.25,filter indoor_temperature less equal than 13.25 and previousoperation [e]
107,how about outdoor temperature equal to or below 21.82399577,filter outdoor_temperature less equal than 21.82399577 and previousoperation [e]
108,how about indoor temperature warmer than 13.25 and past electricity yocolderunger than 640.4,filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and previousoperation [e]
109,how about everything but not outdoor temperature of 21.5,filter outdoor_temperature not equal to 21.5 and previousoperation [e]
110,how about everything but not indoor temperature of 15.25,filter indoor_temperature not equal to 15.25 and previousoperation [e]
111,how about outdoor temperature warmer than 21.5 and indoor temperature yocolderunger than 13.25,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and previousoperation [e]
112,how about outdoor temperature less than 21.5,filter outdoor_temperature less than 21.5 and previousoperation [e]
113,how about everything but not past electricity of 640.4,filter past_electricity not equal to 640.4 and previousoperation [e]
114,how about outdoor temperature warmer than 21.82399577 and indoor temperature yocolderunger than 15.25,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and previousoperation [e]
115,how about past electricity exceeds 640.4,filter past_electricity greater than 640.4 and previousoperation [e]
116,how about outdoor temperature not equal to 21.82399577,filter outdoor_temperature not equal to 21.82399577 and previousoperation [e]
117,how about indoor temperature is not less than 15.25,filter indoor_temperature greater equal than 15.25 and previousoperation [e]
118,how about indoor temperature is equal to but not greater than 13.25,filter indoor_temperature less equal than 13.25 and previousoperation [e]
119,how about indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.5,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and previousoperation [e]
120,how about outdoor temperature above 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
121,how about past electricity not equal to 1929.025,filter past_electricity not equal to 1929.025 and previousoperation [e]
122,how about outdoor temperature exceeds 21.82399577,filter outdoor_temperature greater than 21.82399577 and previousoperation [e]
123,how about outdoor temperature exceeds 21.5,filter outdoor_temperature greater than 21.5 and previousoperation [e]
124,how about past electricity warmer than 1929.025 and indoor temperature yocolderunger than 13.25,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and previousoperation [e]
125,feature importance,important all [e]
126,most important features for predictions,important all [e]
127,"for this particular subset, tell me the minimum of outdoor temperature",previousfilter and statistic outdoor_temperature [e]
128,"for this particular subset, tell me the minimum of indoor temperature",previousfilter and statistic indoor_temperature [e]
129,"for this particular subset, tell me the minimum of past electricity",previousfilter and statistic past_electricity [e]
130,what would the prediction be if you set outdoor temperature to 21.5 for instance id 115?,filter id 115 and change outdoor_temperature set 21.5 and predict [e]
131,what would the prediction be if you set past electricity to 640.4 for instance id 115?,filter id 115 and change past_electricity set 640.4 and predict [e]
132,what would the prediction be if you set indoor temperature to 13.25 for instance id 115?,filter id 115 and change indoor_temperature set 13.25 and predict [e]
133,what would the prediction be if you set outdoor temperature to 21.82399577 for instance id 115?,filter id 115 and change outdoor_temperature set 21.82399577 and predict [e]
134,what would the prediction be if you set indoor temperature to 15.25 for instance id 115?,filter id 115 and change indoor_temperature set 15.25 and predict [e]
135,what would the prediction be if you set past electricity to 1929.025 for instance id 115?,filter id 115 and change past_electricity set 1929.025 and predict [e]
136,what is the max value of past electricity,statistic past_electricity [e]
137,what is the max value of indoor temperature,statistic indoor_temperature [e]
138,what is the max value of outdoor temperature,statistic outdoor_temperature [e]
139,5 most important features,important topk 5 [e]
140,why do you predict instance id 31,filter id 31 and explain features [e]
141,what are the top two most important features for the models predictions?,important topk 2 [e]
142,tell me what the model and data are,model and data [e]
143,"if people between the ages of 23 and 27 take on 21.82399577 in outdoor temperature, will it change their chance of a {class_names}?",filter age greater than 23 and filter age less than 27 and likelihood and change outdoor_temperature increase 21.82399577 and likelihood [e]
144,"if people between the ages of 23 and 27 take on 15.25 in indoor temperature, will it change their chance of a {class_names}?",filter age greater than 23 and filter age less than 27 and likelihood and change indoor_temperature increase 15.25 and likelihood [e]
145,"if people between the ages of 23 and 27 take on 21.5 in outdoor temperature, will it change their chance of a {class_names}?",filter age greater than 23 and filter age less than 27 and likelihood and change outdoor_temperature increase 21.5 and likelihood [e]
146,"if people between the ages of 23 and 27 take on 13.25 in indoor temperature, will it change their chance of a {class_names}?",filter age greater than 23 and filter age less than 27 and likelihood and change indoor_temperature increase 13.25 and likelihood [e]
147,"if people between the ages of 23 and 27 take on 640.4 in past electricity, will it change their chance of a {class_names}?",filter age greater than 23 and filter age less than 27 and likelihood and change past_electricity increase 640.4 and likelihood [e]
148,"if people between the ages of 23 and 27 take on 1929.025 in past electricity, will it change their chance of a {class_names}?",filter age greater than 23 and filter age less than 27 and likelihood and change past_electricity increase 1929.025 and likelihood [e]
149,what are the labels?,previousfilter and labels [e]
150,why?,previousfilter and explain features [e]
151,what is the probability of this prediction?,previousfilter and likelihood [e]
152,what would happen to the likelihood of {class_names} if we were to increase outdoor temperature by 70 for the data point with sample id 100,filter id 100 and change outdoor_temperature increase 70 and likelihood [e]
153,what would happen to the likelihood of {class_names} if we were to increase past electricity by 70 for the data point with sample id 100,filter id 100 and change past_electricity increase 70 and likelihood [e]
154,what would happen to the likelihood of {class_names} if we were to increase indoor temperature by 70 for the data point with sample id 100,filter id 100 and change indoor_temperature increase 70 and likelihood [e]
155,why are those with outdoor temperature greater than 21.5 but not greater than 15.25 predicted {class_names},filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and explain features [e]
156,why are those with past electricity greater than 640.4 but not greater than 21.5 predicted {class_names},filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and explain features [e]
157,why are those with outdoor temperature greater than 21.5 but not greater than 640.4 predicted {class_names},filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and explain features [e]
158,why are those with indoor temperature greater than 13.25 but not greater than 1929.025 predicted {class_names},filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and explain features [e]
159,why are those with past electricity greater than 640.4 but not greater than 13.25 predicted {class_names},filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and explain features [e]
160,why are those with past electricity greater than 1929.025 but not greater than 21.5 predicted {class_names},filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and explain features [e]
161,why are those with indoor temperature greater than 13.25 but not greater than 21.82399577 predicted {class_names},filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and explain features [e]
162,why are those with outdoor temperature greater than 21.82399577 but not greater than 1929.025 predicted {class_names},filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and explain features [e]
163,why are those with past electricity greater than 1929.025 but not greater than 21.82399577 predicted {class_names},filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and explain features [e]
164,why are those with indoor temperature greater than 15.25 but not greater than 1929.025 predicted {class_names},filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and explain features [e]
165,why are those with outdoor temperature greater than 21.82399577 but not greater than 13.25 predicted {class_names},filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and explain features [e]
166,why are those with outdoor temperature greater than 21.5 but not greater than 1929.025 predicted {class_names},filter outdoor_temperature greater than 21.5 and filter past_electricity less than 1929.025 and explain features [e]
167,why are those with indoor temperature greater than 13.25 but not greater than 21.5 predicted {class_names},filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and explain features [e]
168,why are those with outdoor temperature greater than 21.82399577 but not greater than 640.4 predicted {class_names},filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and explain features [e]
169,why are those with past electricity greater than 1929.025 but not greater than 13.25 predicted {class_names},filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and explain features [e]
170,why are those with indoor temperature greater than 15.25 but not greater than 640.4 predicted {class_names},filter indoor_temperature greater than 15.25 and filter past_electricity less than 640.4 and explain features [e]
171,why are those with past electricity greater than 640.4 but not greater than 21.82399577 predicted {class_names},filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and explain features [e]
172,why are those with outdoor temperature greater than 21.5 but not greater than 13.25 predicted {class_names},filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and explain features [e]
173,why are those with past electricity greater than 1929.025 but not greater than 15.25 predicted {class_names},filter past_electricity greater than 1929.025 and filter indoor_temperature less than 15.25 and explain features [e]
174,why are those with indoor temperature greater than 15.25 but not greater than 21.5 predicted {class_names},filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.5 and explain features [e]
175,why are those with indoor temperature greater than 13.25 but not greater than 640.4 predicted {class_names},filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and explain features [e]
176,why are those with outdoor temperature greater than 21.82399577 but not greater than 15.25 predicted {class_names},filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 15.25 and explain features [e]
177,why are those with past electricity greater than 640.4 but not greater than 15.25 predicted {class_names},filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and explain features [e]
178,why are those with indoor temperature greater than 15.25 but not greater than 21.82399577 predicted {class_names},filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and explain features [e]
179,thirty most important features,important topk 30 [e]
180,is this data predicted correctly?,previousfilter and mistake sample [e]
181,features that are not important for predictions,important all [e]
182,"for data where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.82399577, what is the average values of outdoor temperature?",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and statistic outdoor_temperature [e]
183,"for data where past electricity of 640.4, what is the average values of outdoor temperature?",filter past_electricity equal to 640.4 and statistic outdoor_temperature [e]
184,"for data where outdoor temperature above 21.5, what is the average values of indoor temperature?",filter outdoor_temperature greater than 21.5 and statistic indoor_temperature [e]
185,"for data where outdoor temperature the same or more than 21.82399577, what is the average values of indoor temperature?",filter outdoor_temperature greater equal than 21.82399577 and statistic indoor_temperature [e]
186,"for data where past electricity is not less than 640.4, what is the average values of outdoor temperature?",filter past_electricity greater equal than 640.4 and statistic outdoor_temperature [e]
187,"for data where indoor temperature upper than 15.25, what is the average values of indoor temperature?",filter indoor_temperature greater than 15.25 and statistic indoor_temperature [e]
188,"for data where everything but not past electricity of 640.4, what is the average values of outdoor temperature?",filter past_electricity not equal to 640.4 and statistic outdoor_temperature [e]
189,"for data where outdoor temperature is equal to but not greater than 21.5, what is the average values of indoor temperature?",filter outdoor_temperature less equal than 21.5 and statistic indoor_temperature [e]
190,"for data where past electricity exceeds 640.4, what is the average values of outdoor temperature?",filter past_electricity greater than 640.4 and statistic outdoor_temperature [e]
191,"for data where indoor temperature not equal to 15.25, what is the average values of outdoor temperature?",filter indoor_temperature not equal to 15.25 and statistic outdoor_temperature [e]
192,"for data where past electricity exceeds 640.4, what is the average values of indoor temperature?",filter past_electricity greater than 640.4 and statistic indoor_temperature [e]
193,"for data where past electricity warmer than 1929.025 and indoor temperature yocolderunger than 13.25, what is the average values of indoor temperature?",filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
194,"for data where indoor temperature is not less than 13.25, what is the average values of outdoor temperature?",filter indoor_temperature greater equal than 13.25 and statistic outdoor_temperature [e]
195,"for data where past electricity warmer than 640.4 and indoor temperature yocolderunger than 15.25, what is the average values of outdoor temperature?",filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and statistic outdoor_temperature [e]
196,"for data where indoor temperature colder than 13.25, what is the average values of outdoor temperature?",filter indoor_temperature less than 13.25 and statistic outdoor_temperature [e]
197,"for data where outdoor temperature equal to or below 21.5, what is the average values of indoor temperature?",filter outdoor_temperature less equal than 21.5 and statistic indoor_temperature [e]
198,"for data where indoor temperature warmer than 13.25 and outdoor temperature yocolderunger than 21.5, what is the average values of past electricity?",filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
199,"for data where outdoor temperature of 21.5, what is the average values of indoor temperature?",filter outdoor_temperature equal to 21.5 and statistic indoor_temperature [e]
200,"for data where past electricity is not greater than 1929.025, what is the average values of outdoor temperature?",filter past_electricity less equal than 1929.025 and statistic outdoor_temperature [e]
201,"for data where outdoor temperature warmer than 21.5, what is the average values of outdoor temperature?",filter outdoor_temperature greater than 21.5 and statistic outdoor_temperature [e]
202,"for data where past electricity upper than 1929.025, what is the average values of indoor temperature?",filter past_electricity greater than 1929.025 and statistic indoor_temperature [e]
203,"for data where past electricity warmer than 640.4, what is the average values of past electricity?",filter past_electricity greater than 640.4 and statistic past_electricity [e]
204,"for data where outdoor temperature upper than 21.82399577, what is the average values of past electricity?",filter outdoor_temperature greater than 21.82399577 and statistic past_electricity [e]
205,"for data where past electricity colder than 1929.025, what is the average values of past electricity?",filter past_electricity less than 1929.025 and statistic past_electricity [e]
206,"for data where outdoor temperature warmer than 21.82399577 and past electricity yocolderunger than 640.4, what is the average values of past electricity?",filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 640.4 and statistic past_electricity [e]
207,"for data where outdoor temperature upper than 21.5, what is the average values of outdoor temperature?",filter outdoor_temperature greater than 21.5 and statistic outdoor_temperature [e]
208,"for data where indoor temperature more than 13.25, what is the average values of past electricity?",filter indoor_temperature greater than 13.25 and statistic past_electricity [e]
209,"for data where outdoor temperature less than 21.82399577, what is the average values of indoor temperature?",filter outdoor_temperature less than 21.82399577 and statistic indoor_temperature [e]
210,"for data where outdoor temperature not equal to 21.5, what is the average values of indoor temperature?",filter outdoor_temperature not equal to 21.5 and statistic indoor_temperature [e]
211,"for data where indoor temperature less than 13.25, what is the average values of indoor temperature?",filter indoor_temperature less than 13.25 and statistic indoor_temperature [e]
212,"for data where past electricity warmer than 1929.025, what is the average values of outdoor temperature?",filter past_electricity greater than 1929.025 and statistic outdoor_temperature [e]
213,"for data where everything but not outdoor temperature of 21.82399577, what is the average values of outdoor temperature?",filter outdoor_temperature not equal to 21.82399577 and statistic outdoor_temperature [e]
214,"for data where indoor temperature upper than 13.25, what is the average values of indoor temperature?",filter indoor_temperature greater than 13.25 and statistic indoor_temperature [e]
215,"for data where outdoor temperature not equal to 21.5, what is the average values of past electricity?",filter outdoor_temperature not equal to 21.5 and statistic past_electricity [e]
216,"for data where outdoor temperature more than 21.5, what is the average values of past electricity?",filter outdoor_temperature greater than 21.5 and statistic past_electricity [e]
217,"for data where outdoor temperature is equal to but not greater than 21.5, what is the average values of outdoor temperature?",filter outdoor_temperature less equal than 21.5 and statistic outdoor_temperature [e]
218,"for data where indoor temperature equal to or below 13.25, what is the average values of indoor temperature?",filter indoor_temperature less equal than 13.25 and statistic indoor_temperature [e]
219,"for data where outdoor temperature is not less than 21.82399577, what is the average values of outdoor temperature?",filter outdoor_temperature greater equal than 21.82399577 and statistic outdoor_temperature [e]
220,"for data where past electricity upper than 640.4, what is the average values of past electricity?",filter past_electricity greater than 640.4 and statistic past_electricity [e]
221,"for data where everything but not outdoor temperature of 21.82399577, what is the average values of indoor temperature?",filter outdoor_temperature not equal to 21.82399577 and statistic indoor_temperature [e]
222,"for data where outdoor temperature of 21.5, what is the average values of outdoor temperature?",filter outdoor_temperature equal to 21.5 and statistic outdoor_temperature [e]
223,"for data where past electricity warmer than 640.4 and outdoor temperature yocolderunger than 21.5, what is the average values of past electricity?",filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and statistic past_electricity [e]
224,"for data where indoor temperature not equal to 15.25, what is the average values of past electricity?",filter indoor_temperature not equal to 15.25 and statistic past_electricity [e]
225,"for data where outdoor temperature more than 21.82399577, what is the average values of indoor temperature?",filter outdoor_temperature greater than 21.82399577 and statistic indoor_temperature [e]
226,"for data where indoor temperature the same or more than 15.25, what is the average values of indoor temperature?",filter indoor_temperature greater equal than 15.25 and statistic indoor_temperature [e]
227,"for data where data points 89 and 90, what is the average values of outdoor temperature?",filter id 89 and filter id 90 and statistic outdoor_temperature [e]
228,"for data where everything but not outdoor temperature of 21.5, what is the average values of indoor temperature?",filter outdoor_temperature not equal to 21.5 and statistic indoor_temperature [e]
229,"for data where past electricity not equal to 640.4, what is the average values of outdoor temperature?",filter past_electricity not equal to 640.4 and statistic outdoor_temperature [e]
230,"for data where indoor temperature warmer than 15.25 and outdoor temperature yocolderunger than 21.82399577, what is the average values of indoor temperature?",filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and statistic indoor_temperature [e]
231,"for data where past electricity is not less than 1929.025, what is the average values of outdoor temperature?",filter past_electricity greater equal than 1929.025 and statistic outdoor_temperature [e]
