,natural_language,parsed_utterance
119,what if these people had 640.4 more past electricity,previousfilter and change past_electricity increase 640.4 and previousoperation [e]
120,what if these people had 21.5 more outdoor temperature,previousfilter and change outdoor_temperature increase 21.5 and previousoperation [e]
121,what if these people had 1929.025 more past electricity,previousfilter and change past_electricity increase 1929.025 and previousoperation [e]
122,what if these people had 13.25 more indoor temperature,previousfilter and change indoor_temperature increase 13.25 and previousoperation [e]
123,what if these people had 15.25 more indoor temperature,previousfilter and change indoor_temperature increase 15.25 and previousoperation [e]
124,prediction of data where past electricity greater than 1929.025 followed by showing the data itself,filter past_electricity less than 1929.025 and predict and show [e]
125,prediction of data where outdoor temperature greater than 21.82399577 followed by showing the data itself,filter outdoor_temperature less than 21.82399577 and predict and show [e]
126,prediction of data where past electricity greater than 640.4 followed by showing the data itself,filter past_electricity less than 640.4 and predict and show [e]
127,prediction of data where indoor temperature greater than 15.25 followed by showing the data itself,filter indoor_temperature less than 15.25 and predict and show [e]
128,prediction of data where outdoor temperature greater than 21.5 followed by showing the data itself,filter outdoor_temperature less than 21.5 and predict and show [e]
129,prediction of data where indoor temperature greater than 13.25 followed by showing the data itself,filter indoor_temperature less than 13.25 and predict and show [e]
130,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase past electricity by 640.4?,filter outdoor_temperature less than 21.82399577 and change past_electricity increase 640.4 and predict [e]
131,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase past electricity by 640.4?,filter indoor_temperature less than 15.25 and change past_electricity increase 640.4 and predict [e]
132,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase outdoor temperature by 21.82399577?,filter past_electricity less than 640.4 and change outdoor_temperature increase 21.82399577 and predict [e]
133,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase indoor temperature by 15.25?,filter past_electricity less than 640.4 and change indoor_temperature increase 15.25 and predict [e]
134,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase indoor temperature by 15.25?,filter outdoor_temperature less than 21.82399577 and change indoor_temperature increase 15.25 and predict [e]
135,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase indoor temperature by 13.25?,filter outdoor_temperature less than 21.82399577 and change indoor_temperature increase 13.25 and predict [e]
136,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase outdoor temperature by 21.82399577?,filter indoor_temperature less than 15.25 and change outdoor_temperature increase 21.82399577 and predict [e]
137,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase indoor temperature by 13.25?,filter outdoor_temperature less than 21.5 and change indoor_temperature increase 13.25 and predict [e]
138,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase indoor temperature by 13.25?,filter past_electricity less than 1929.025 and change indoor_temperature increase 13.25 and predict [e]
139,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase past electricity by 640.4?,filter indoor_temperature less than 13.25 and change past_electricity increase 640.4 and predict [e]
140,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase indoor temperature by 15.25?,filter past_electricity less than 1929.025 and change indoor_temperature increase 15.25 and predict [e]
141,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase past electricity by 1929.025?,filter indoor_temperature less than 13.25 and change past_electricity increase 1929.025 and predict [e]
142,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase outdoor temperature by 21.82399577?,filter indoor_temperature less than 13.25 and change outdoor_temperature increase 21.82399577 and predict [e]
143,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase past electricity by 1929.025?,filter outdoor_temperature less than 21.5 and change past_electricity increase 1929.025 and predict [e]
144,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase past electricity by 640.4?,filter outdoor_temperature less than 21.5 and change past_electricity increase 640.4 and predict [e]
145,what would the predictions be like for instances with outdoor temperature less than 21.5 if you were to increase indoor temperature by 15.25?,filter outdoor_temperature less than 21.5 and change indoor_temperature increase 15.25 and predict [e]
146,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase outdoor temperature by 21.5?,filter past_electricity less than 1929.025 and change outdoor_temperature increase 21.5 and predict [e]
147,what would the predictions be like for instances with outdoor temperature less than 21.82399577 if you were to increase past electricity by 1929.025?,filter outdoor_temperature less than 21.82399577 and change past_electricity increase 1929.025 and predict [e]
148,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase outdoor temperature by 21.5?,filter past_electricity less than 640.4 and change outdoor_temperature increase 21.5 and predict [e]
149,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase outdoor temperature by 21.5?,filter indoor_temperature less than 15.25 and change outdoor_temperature increase 21.5 and predict [e]
150,what would the predictions be like for instances with indoor temperature less than 15.25 if you were to increase past electricity by 1929.025?,filter indoor_temperature less than 15.25 and change past_electricity increase 1929.025 and predict [e]
151,what would the predictions be like for instances with indoor temperature less than 13.25 if you were to increase outdoor temperature by 21.5?,filter indoor_temperature less than 13.25 and change outdoor_temperature increase 21.5 and predict [e]
152,what would the predictions be like for instances with past electricity less than 1929.025 if you were to increase outdoor temperature by 21.82399577?,filter past_electricity less than 1929.025 and change outdoor_temperature increase 21.82399577 and predict [e]
153,what would the predictions be like for instances with past electricity less than 640.4 if you were to increase indoor temperature by 13.25?,filter past_electricity less than 640.4 and change indoor_temperature increase 13.25 and predict [e]
154,what are the labels for past electricity warmer than 640.4,filter past_electricity greater than 640.4 and label [e]
155,what are the labels for past electricity is equal to but not greater than 1929.025,filter past_electricity less equal than 1929.025 and label [e]
156,what are the labels for past electricity is not less than 1929.025,filter past_electricity greater equal than 1929.025 and label [e]
157,what are the labels for past electricity upper than 640.4,filter past_electricity greater than 640.4 and label [e]
158,what are the labels for indoor temperature warmer than 15.25 and outdoor temperature colder than 21.82399577,filter indoor_temperature greater than 15.25 and filter outdoor_temperature less than 21.82399577 and label [e]
159,what are the labels for indoor temperature is not less than 13.25,filter indoor_temperature greater equal than 13.25 and label [e]
160,what are the labels for outdoor temperature less than 21.5,filter outdoor_temperature less than 21.5 and label [e]
161,what are the labels for outdoor temperature warmer than 21.5 and past electricity colder than 640.4,filter outdoor_temperature greater than 21.5 and filter past_electricity less than 640.4 and label [e]
162,what are the labels for outdoor temperature equal to or below 21.5,filter outdoor_temperature less equal than 21.5 and label [e]
163,what are the labels for past electricity is not less than 640.4,filter past_electricity greater equal than 640.4 and label [e]
164,what are the labels for outdoor temperature not equal to 21.82399577,filter outdoor_temperature not equal to 21.82399577 and label [e]
165,what are the labels for indoor temperature warmer than 13.25 and outdoor temperature colder than 21.82399577,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.82399577 and label [e]
166,what are the labels for past electricity warmer than 1929.025 and indoor temperature colder than 13.25,filter past_electricity greater than 1929.025 and filter indoor_temperature less than 13.25 and label [e]
167,what are the labels for indoor temperature upper than 15.25,filter indoor_temperature greater than 15.25 and label [e]
168,what are the labels for indoor temperature the same or more than 13.25,filter indoor_temperature greater equal than 13.25 and label [e]
169,what are the labels for outdoor temperature more than 21.5,filter outdoor_temperature greater than 21.5 and label [e]
170,what are the labels for past electricity is not greater than 1929.025,filter past_electricity less equal than 1929.025 and label [e]
171,what are the labels for everything but not past electricity of 640.4,filter past_electricity not equal to 640.4 and label [e]
172,what are the labels for outdoor temperature exceeds 21.82399577,filter outdoor_temperature greater than 21.82399577 and label [e]
173,what are the labels for past electricity above 1929.025,filter past_electricity greater than 1929.025 and label [e]
174,what are the labels for past electricity equal to or below 1929.025,filter past_electricity less equal than 1929.025 and label [e]
175,what are the labels for outdoor temperature the same or more than 21.5,filter outdoor_temperature greater equal than 21.5 and label [e]
176,what are the labels for outdoor temperature is not less than 21.82399577,filter outdoor_temperature greater equal than 21.82399577 and label [e]
177,what are the labels for outdoor temperature warmer than 21.5 and indoor temperature colder than 15.25,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 15.25 and label [e]
178,what are the labels for outdoor temperature exceeds 21.5,filter outdoor_temperature greater than 21.5 and label [e]
179,what are the labels for past electricity warmer than 640.4 and indoor temperature colder than 15.25,filter past_electricity greater than 640.4 and filter indoor_temperature less than 15.25 and label [e]
180,what are the labels for indoor temperature is not greater than 15.25,filter indoor_temperature less equal than 15.25 and label [e]
181,what are the labels for past electricity exceeds 640.4,filter past_electricity greater than 640.4 and label [e]
182,what are the labels for outdoor temperature upper than 21.82399577,filter outdoor_temperature greater than 21.82399577 and label [e]
183,what are the labels for outdoor temperature warmer than 21.5,filter outdoor_temperature greater than 21.5 and label [e]
184,what are the labels for indoor temperature more than 15.25,filter indoor_temperature greater than 15.25 and label [e]
185,what are the labels for past electricity less than 1929.025,filter past_electricity less than 1929.025 and label [e]
186,what are the labels for indoor temperature warmer than 15.25,filter indoor_temperature greater than 15.25 and label [e]
187,what are the labels for outdoor temperature colder than 21.82399577,filter outdoor_temperature less than 21.82399577 and label [e]
188,what are the labels for indoor temperature more than 13.25,filter indoor_temperature greater than 13.25 and label [e]
189,what are the labels for outdoor temperature warmer than 21.82399577,filter outdoor_temperature greater than 21.82399577 and label [e]
190,what are the labels for past electricity warmer than 640.4 and outdoor temperature colder than 21.5,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.5 and label [e]
191,what are the labels for outdoor temperature is not greater than 21.82399577,filter outdoor_temperature less equal than 21.82399577 and label [e]
192,what are the labels for everything but not outdoor temperature of 21.5,filter outdoor_temperature not equal to 21.5 and label [e]
193,what are the labels for past electricity more than 640.4,filter past_electricity greater than 640.4 and label [e]
194,what are the labels for past electricity exceeds 1929.025,filter past_electricity greater than 1929.025 and label [e]
195,what are the labels for outdoor temperature warmer than 21.82399577 and past electricity colder than 1929.025,filter outdoor_temperature greater than 21.82399577 and filter past_electricity less than 1929.025 and label [e]
196,what are the labels for past electricity of 1929.025,filter past_electricity equal to 1929.025 and label [e]
197,what are the labels for past electricity colder than 1929.025,filter past_electricity less than 1929.025 and label [e]
198,what are the labels for indoor temperature of 13.25,filter indoor_temperature equal to 13.25 and label [e]
199,what are the labels for id 61,filter id 61 and label [e]
200,what are the labels for indoor temperature warmer than 13.25 and past electricity colder than 1929.025,filter indoor_temperature greater than 13.25 and filter past_electricity less than 1929.025 and label [e]
201,what are the labels for past electricity not equal to 1929.025,filter past_electricity not equal to 1929.025 and label [e]
202,what are the labels for outdoor temperature is not greater than 21.5,filter outdoor_temperature less equal than 21.5 and label [e]
203,what are the labels for past electricity equal to or below 640.4,filter past_electricity less equal than 640.4 and label [e]
204,what are the labels for everything but not indoor temperature of 15.25,filter indoor_temperature not equal to 15.25 and label [e]
205,what are the labels for indoor temperature is equal to but not greater than 13.25,filter indoor_temperature less equal than 13.25 and label [e]
206,what are the labels for past electricity less than 640.4,filter past_electricity less than 640.4 and label [e]
207,what are the labels for past electricity the same or more than 1929.025,filter past_electricity greater equal than 1929.025 and label [e]
208,what are the labels for everything but not outdoor temperature of 21.82399577,filter outdoor_temperature not equal to 21.82399577 and label [e]
209,what are the labels for past electricity upper than 1929.025,filter past_electricity greater than 1929.025 and label [e]
210,what are the labels for past electricity warmer than 1929.025 and outdoor temperature colder than 21.82399577,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.82399577 and label [e]
211,what are the labels for indoor temperature of 15.25,filter indoor_temperature equal to 15.25 and label [e]
212,what are the labels for past electricity warmer than 1929.025 and outdoor temperature colder than 21.5,filter past_electricity greater than 1929.025 and filter outdoor_temperature less than 21.5 and label [e]
213,what are the labels for outdoor temperature more than 21.82399577,filter outdoor_temperature greater than 21.82399577 and label [e]
214,what are the labels for indoor temperature equal to or below 13.25,filter indoor_temperature less equal than 13.25 and label [e]
215,what are the labels for past electricity of 640.4,filter past_electricity equal to 640.4 and label [e]
216,what are the labels for outdoor temperature warmer than 21.82399577 and indoor temperature colder than 13.25,filter outdoor_temperature greater than 21.82399577 and filter indoor_temperature less than 13.25 and label [e]
217,what are the labels for indoor temperature exceeds 15.25,filter indoor_temperature greater than 15.25 and label [e]
218,what are the labels for past electricity warmer than 640.4 and outdoor temperature colder than 21.82399577,filter past_electricity greater than 640.4 and filter outdoor_temperature less than 21.82399577 and label [e]
219,what are the labels for everything but not past electricity of 1929.025,filter past_electricity not equal to 1929.025 and label [e]
220,what are the labels for indoor temperature warmer than 15.25 and past electricity colder than 1929.025,filter indoor_temperature greater than 15.25 and filter past_electricity less than 1929.025 and label [e]
221,what are the labels for outdoor temperature colder than 21.5,filter outdoor_temperature less than 21.5 and label [e]
222,what are the labels for indoor temperature warmer than 13.25 and past electricity colder than 640.4,filter indoor_temperature greater than 13.25 and filter past_electricity less than 640.4 and label [e]
223,what are the labels for indoor temperature less than 15.25,filter indoor_temperature less than 15.25 and label [e]
224,what are the labels for past electricity more than 1929.025,filter past_electricity greater than 1929.025 and label [e]
225,what are the labels for outdoor temperature warmer than 21.5 and indoor temperature colder than 13.25,filter outdoor_temperature greater than 21.5 and filter indoor_temperature less than 13.25 and label [e]
226,what are the labels for past electricity is not greater than 640.4,filter past_electricity less equal than 640.4 and label [e]
227,what are the labels for everything but not indoor temperature of 13.25,filter indoor_temperature not equal to 13.25 and label [e]
228,what are the labels for indoor temperature the same or more than 15.25,filter indoor_temperature greater equal than 15.25 and label [e]
229,what are the labels for outdoor temperature is equal to but not greater than 21.5,filter outdoor_temperature less equal than 21.5 and label [e]
230,what are the labels for indoor temperature warmer than 13.25 and outdoor temperature colder than 21.5,filter indoor_temperature greater than 13.25 and filter outdoor_temperature less than 21.5 and label [e]
231,what are the labels for past electricity not equal to 640.4,filter past_electricity not equal to 640.4 and label [e]
232,what are the labels for past electricity warmer than 640.4 and indoor temperature colder than 13.25,filter past_electricity greater than 640.4 and filter indoor_temperature less than 13.25 and label [e]
